City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.73,-155.09,87.8,55,40,14.99,scattered clouds
1,Arraial Do Cabo,BR,-22.97,-42.03,70.12,73,70,9.08,broken clouds
2,Hovd,MN,48.01,91.64,32.04,79,0,2.71,clear sky
3,Salalah,OM,17.02,54.09,73.4,56,0,3.36,clear sky
4,Barrow,US,71.29,-156.79,17.6,72,1,26.4,clear sky
5,Mount Isa,AU,-20.73,139.5,87.8,16,0,11.41,clear sky
6,Rikitea,PF,-23.12,-134.97,73.87,81,99,19.75,overcast clouds
7,Punta Arenas,CL,-53.15,-70.92,41.0,86,75,10.29,broken clouds
8,Half Moon Bay,US,37.46,-122.43,93.2,17,1,13.87,clear sky
9,Ancud,CL,-41.87,-73.82,59.0,58,54,10.29,broken clouds
10,Busselton,AU,-33.65,115.33,57.0,79,0,8.75,clear sky
11,Sawakin,SD,19.11,37.33,80.46,70,0,4.52,clear sky
12,Carnarvon,AU,-24.87,113.63,69.8,88,40,17.22,scattered clouds
13,Albany,US,42.6,-73.97,48.0,89,100,5.19,overcast clouds
14,Tuktoyaktuk,CA,69.45,-133.04,21.2,85,90,24.16,light snow
15,Andradas,BR,-22.07,-46.57,64.2,80,100,4.14,overcast clouds
16,Ribeira Grande,PT,38.52,-28.7,64.27,71,18,9.4,few clouds
17,Jamestown,US,42.1,-79.24,42.01,55,1,4.7,clear sky
18,Qaanaaq,GL,77.48,-69.36,30.99,87,100,6.89,overcast clouds
19,Ipora,BR,-16.44,-51.12,75.54,70,32,7.45,scattered clouds
20,New Norfolk,AU,-42.78,147.06,48.99,68,100,1.01,light rain
21,Paamiut,GL,61.99,-49.67,42.24,76,93,38.99,overcast clouds
22,Vila Franca Do Campo,PT,37.72,-25.43,62.6,93,75,10.29,broken clouds
23,Bluff,NZ,-46.6,168.33,54.0,61,32,7.0,scattered clouds
24,Port Alfred,ZA,-33.59,26.89,63.93,82,11,16.96,few clouds
25,Bredasdorp,ZA,-34.53,20.04,55.4,100,53,2.24,broken clouds
26,Esperance,AU,-33.87,121.9,55.4,100,51,3.36,broken clouds
27,Songjianghe,CN,42.19,127.48,40.19,70,0,8.75,clear sky
