City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pinega,RU,2020-10-17 00:24:54,64.7,43.39,32.04,95,89,9.82
1,Arraial Do Cabo,BR,2020-10-17 00:24:55,-22.97,-42.03,70.23,73,92,8.72
2,Punta Arenas,CL,2020-10-17 00:22:11,-53.15,-70.92,41.0,86,75,10.29
3,Ushuaia,AR,2020-10-17 00:24:55,-54.8,-68.3,42.8,85,40,25.28
4,Qaanaaq,GL,2020-10-17 00:24:55,77.48,-69.36,30.99,87,100,6.89
5,Avarua,CK,2020-10-17 00:24:55,-21.21,-159.78,78.8,61,28,10.29
6,Hermanus,ZA,2020-10-17 00:24:55,-34.42,19.23,59.0,76,50,5.79
7,Changqing,CN,2020-10-17 00:24:55,36.56,116.73,57.0,52,0,4.72
8,Yumen,CN,2020-10-17 00:24:55,40.28,97.2,42.78,50,62,11.61
9,Souillac,MU,2020-10-17 00:24:56,-20.52,57.52,68.0,94,20,5.82
10,Bambous Virieux,MU,2020-10-17 00:24:56,-20.34,57.76,68.0,94,20,5.82
11,Chokurdakh,RU,2020-10-17 00:24:08,70.63,147.92,31.77,99,100,9.31
12,Adrar,MR,2020-10-17 00:24:56,20.5,-10.07,87.82,16,0,8.99
13,Albany,US,2020-10-17 00:24:56,42.6,-73.97,48.0,89,100,5.19
14,Constitucion,CL,2020-10-17 00:24:56,-35.33,-72.42,52.27,92,3,0.63
15,Bengkulu,ID,2020-10-17 00:24:56,-3.8,102.27,76.12,85,65,3.11
16,East London,ZA,2020-10-17 00:24:57,-33.02,27.91,66.02,78,34,19.28
17,Scarborough,GB,2020-10-17 00:24:57,54.28,-0.4,48.99,87,90,1.99
18,Saint-Philippe,RE,2020-10-17 00:24:57,-21.36,55.77,71.6,60,22,6.93
19,Chuy,UY,2020-10-17 00:24:57,-33.7,-53.46,57.25,90,4,11.12
20,Amapa,BR,2020-10-17 00:24:57,1.0,-52.0,80.38,49,66,5.79
21,Salym,RU,2020-10-17 00:24:57,60.06,71.48,33.87,87,36,9.44
22,Clyde River,CA,2020-10-17 00:24:57,70.47,-68.59,33.8,100,90,12.75
23,New Norfolk,AU,2020-10-17 00:24:58,-42.78,147.06,50.0,68,100,1.01
24,Port Alfred,ZA,2020-10-17 00:24:58,-33.59,26.89,63.93,82,11,16.96
25,Tuktoyaktuk,CA,2020-10-17 00:24:58,69.45,-133.04,21.2,85,90,23.04
26,Campbell River,CA,2020-10-17 00:24:18,50.02,-125.24,55.4,87,75,7.4
27,Sherbakul,RU,2020-10-17 00:21:11,54.63,72.4,50.0,46,99,11.18
28,Odweyne,SO,2020-10-17 00:24:58,9.41,45.06,73.47,44,2,0.94
29,Kapaa,US,2020-10-17 00:24:58,22.08,-159.32,84.2,70,20,13.87
30,Mataura,NZ,2020-10-17 00:24:58,-46.19,168.86,54.0,62,48,5.01
31,Nouakchott,MR,2020-10-17 00:24:59,18.09,-15.98,86.0,51,58,10.29
32,Cape Town,ZA,2020-10-17 00:21:52,-33.93,18.42,57.0,93,34,4.7
33,Bredasdorp,ZA,2020-10-17 00:24:59,-34.53,20.04,53.6,93,51,1.12
34,Busselton,AU,2020-10-17 00:24:59,-33.65,115.33,59.0,75,0,8.75
35,Mar Del Plata,AR,2020-10-17 00:24:59,-38.0,-57.56,57.0,100,90,11.41
36,Kamaishi,JP,2020-10-17 00:24:59,39.27,141.88,50.0,87,75,9.17
37,Pangnirtung,CA,2020-10-17 00:24:59,66.15,-65.71,38.01,84,100,5.26
38,Marau,BR,2020-10-17 00:25:00,-28.45,-52.2,60.01,69,0,5.41
39,Mahebourg,MU,2020-10-17 00:25:00,-20.41,57.7,68.0,94,20,5.82
40,Dikson,RU,2020-10-17 00:25:00,73.51,80.55,20.23,95,51,13.69
41,Rikitea,PF,2020-10-17 00:25:00,-23.12,-134.97,73.87,81,99,19.75
42,Puerto Escondido,MX,2020-10-17 00:25:00,15.85,-97.07,82.4,69,75,5.82
43,Kruisfontein,ZA,2020-10-17 00:25:00,-34.0,24.73,57.0,95,11,1.01
44,Kombissiri,BF,2020-10-17 00:25:01,12.07,-1.34,73.4,83,40,5.82
45,Kodiak,US,2020-10-17 00:23:57,57.79,-152.41,46.4,65,1,5.82
46,Banda Aceh,ID,2020-10-17 00:25:01,5.56,95.32,81.3,70,100,12.93
47,Tangshan,CN,2020-10-17 00:24:27,39.63,118.18,52.61,40,0,9.78
48,Pevek,RU,2020-10-17 00:25:01,69.7,170.31,36.1,83,15,11.52
49,Broken Hill,AU,2020-10-17 00:25:02,-31.95,141.43,64.4,82,90,11.41
50,Nikolayevka,RU,2020-10-17 00:25:02,53.13,47.2,50.43,75,73,14.32
51,Yulara,AU,2020-10-17 00:25:02,-25.24,130.99,84.2,30,10,14.99
52,Bluff,NZ,2020-10-17 00:25:02,-46.6,168.33,54.0,62,32,5.01
53,Sitka,US,2020-10-17 00:25:03,57.05,-135.33,50.0,66,75,10.29
54,Ranfurly,NZ,2020-10-17 00:25:03,-45.13,170.1,53.01,61,98,6.82
55,Lebu,CL,2020-10-17 00:25:03,-37.62,-73.65,51.15,94,43,3.67
56,Portland,US,2020-10-17 00:20:18,45.52,-122.68,66.99,52,90,3.36
57,Concarneau,FR,2020-10-17 00:25:04,47.88,-3.92,42.8,93,23,4.7
58,Nohar,IN,2020-10-17 00:25:04,29.18,74.77,71.29,23,11,3.04
59,Brae,GB,2020-10-17 00:25:04,60.4,-1.35,42.8,93,100,9.17
60,Ulladulla,AU,2020-10-17 00:24:05,-35.35,150.47,70.0,60,40,4.7
61,Ribeira Grande,PT,2020-10-17 00:25:04,38.52,-28.7,64.27,71,18,9.4
62,Atambua,ID,2020-10-17 00:25:05,-9.11,124.89,84.65,43,3,1.36
63,Tukrah,LY,2020-10-17 00:25:05,32.53,20.58,79.34,33,52,8.55
64,Hasaki,JP,2020-10-17 00:25:05,35.73,140.83,54.0,93,75,9.17
65,Ilulissat,GL,2020-10-17 00:25:05,69.22,-51.1,48.2,57,100,14.99
66,Challans,FR,2020-10-17 00:25:05,46.84,-1.87,50.0,81,90,6.93
67,Champerico,GT,2020-10-17 00:25:06,14.3,-91.92,77.0,94,75,4.7
68,Urucara,BR,2020-10-17 00:25:06,-2.54,-57.76,83.88,50,35,1.43
69,Hobart,AU,2020-10-17 00:21:57,-42.88,147.33,51.01,70,75,5.82
70,Cidreira,BR,2020-10-17 00:22:49,-30.18,-50.21,64.38,79,8,20.15
71,Pacaembu,BR,2020-10-17 00:25:06,-21.56,-51.26,71.22,60,98,10.54
72,Diego De Almagro,CL,2020-10-17 00:25:06,-26.37,-70.05,59.32,34,0,1.54
73,Sao Jose Da Coroa Grande,BR,2020-10-17 00:25:06,-8.9,-35.15,75.65,85,41,9.42
74,Barrow,US,2020-10-17 00:25:07,71.29,-156.79,17.6,72,1,25.28
75,Nome,US,2020-10-17 00:22:41,64.5,-165.41,39.2,86,90,27.51
76,Hambantota,LK,2020-10-17 00:25:07,6.12,81.12,77.0,88,20,9.17
77,Vostok,RU,2020-10-17 00:25:07,46.49,135.88,37.02,77,62,7.49
78,Kuandian,CN,2020-10-17 00:25:07,40.73,124.78,46.0,59,0,2.95
79,Carnarvon,AU,2020-10-17 00:25:08,-24.87,113.63,71.6,78,0,19.46
80,Vila Velha,BR,2020-10-17 00:20:11,-20.33,-40.29,69.8,83,100,11.41
81,Srandakan,ID,2020-10-17 00:25:08,-7.94,110.25,79.0,76,100,6.96
82,Provideniya,RU,2020-10-17 00:25:08,64.38,-173.3,41.32,82,88,11.39
83,Kimbe,PG,2020-10-17 00:25:08,-5.55,150.14,87.46,64,93,3.15
84,Mehamn,NO,2020-10-17 00:25:08,71.04,27.85,35.67,80,100,8.14
85,Iqaluit,CA,2020-10-17 00:25:08,63.75,-68.51,33.8,100,90,5.82
86,Tirumullaivasal,IN,2020-10-17 00:25:09,11.23,79.83,77.85,81,13,4.76
87,Corner Brook,CA,2020-10-17 00:25:09,48.97,-57.95,48.2,93,5,2.24
88,Bardiyah,LY,2020-10-17 00:25:09,31.76,25.09,77.81,42,18,12.15
89,Andenes,NO,2020-10-17 00:25:09,69.31,16.12,41.0,93,75,3.36
90,Georgetown,MY,2020-10-17 00:25:09,5.41,100.34,80.6,88,20,3.76
91,Kahului,US,2020-10-17 00:25:09,20.89,-156.47,91.4,49,40,9.17
92,Vila Franca Do Campo,PT,2020-10-17 00:25:10,37.72,-25.43,64.4,88,75,8.05
93,Bethel,US,2020-10-17 00:25:10,41.37,-73.41,48.2,93,90,5.82
94,Tasiilaq,GL,2020-10-17 00:25:10,65.61,-37.64,37.4,64,49,25.28
95,Makakilo City,US,2020-10-17 00:24:55,21.35,-158.09,86.0,62,1,9.17
96,Thompson,CA,2020-10-17 00:25:10,55.74,-97.86,30.2,74,75,10.29
97,Hilo,US,2020-10-17 00:23:18,19.73,-155.09,87.8,58,1,13.87
98,Mazagao,BR,2020-10-17 00:25:10,-0.12,-51.29,84.2,70,71,10.29
99,Atuona,PF,2020-10-17 00:25:11,-9.8,-139.03,78.51,74,1,17.9
100,Hithadhoo,MV,2020-10-17 00:25:11,-0.6,73.08,83.46,75,95,19.57
101,Paragominas,BR,2020-10-17 00:25:11,-2.97,-47.48,74.61,92,87,3.04
102,Celestun,MX,2020-10-17 00:25:11,20.87,-90.4,80.51,77,5,10.92
103,Bemidji,US,2020-10-17 00:25:11,47.47,-94.88,30.2,46,1,3.58
104,Batemans Bay,AU,2020-10-17 00:25:11,-35.72,150.18,66.0,78,100,5.01
105,Bianzhuang,CN,2020-10-17 00:20:38,34.85,118.04,54.86,58,1,1.48
106,Saskylakh,RU,2020-10-17 00:25:12,71.92,114.08,3.69,93,88,3.36
107,Beringovskiy,RU,2020-10-17 00:25:12,63.05,179.32,41.18,83,14,5.79
108,Vaini,TO,2020-10-17 00:25:12,-21.2,-175.2,77.0,83,75,12.75
109,Fortuna,US,2020-10-17 00:25:12,40.6,-124.16,69.01,59,1,10.29
110,Dandong,CN,2020-10-17 00:25:12,40.13,124.39,50.09,55,0,2.98
111,Saint-Pierre,RE,2020-10-17 00:25:12,-21.34,55.48,71.6,60,48,6.93
112,Magadan,RU,2020-10-17 00:25:13,59.57,150.8,33.21,82,43,3.24
113,Sioux Lookout,CA,2020-10-17 00:25:13,50.1,-91.92,30.2,46,75,5.82
114,Codrington,AU,2020-10-17 00:25:13,-38.27,141.97,56.59,86,93,14.5
115,Boulder City,US,2020-10-17 00:24:42,35.98,-114.83,84.2,7,1,5.82
116,Grand Gaube,MU,2020-10-17 00:25:13,-20.01,57.66,68.0,94,20,5.82
117,Shingu,JP,2020-10-17 00:25:13,33.73,135.98,57.2,100,75,2.24
118,Faanui,PF,2020-10-17 00:25:14,-16.48,-151.75,79.36,78,38,11.39
119,Airai,TL,2020-10-17 00:25:14,-8.93,125.41,74.48,47,53,2.66
120,Yellowknife,CA,2020-10-17 00:25:14,62.46,-114.35,26.01,92,90,18.34
121,Villa Carlos Paz,AR,2020-10-17 00:25:14,-31.42,-64.5,78.01,49,73,10.29
122,Cherskiy,RU,2020-10-17 00:25:14,68.75,161.3,28.09,95,94,4.74
